problem,method,h,x,y,exact,numerical,absolute_error
A,SOR omega=1.6,0.125,0.875,0.625,54.6875,54.687500000006324,6.323830348264892e-12
A,SOR omega=1.6,0.125,1.0,0.625,62.5,62.5,0.0
A,SOR omega=1.6,0.125,0.0,0.75,0.0,0.0,0.0
A,SOR omega=1.6,0.125,0.125,0.75,9.375,9.37500000001266,1.2660095194405585e-11
A,SOR omega=1.6,0.125,0.25,0.75,18.75,18.750000000008338,8.338219004144776e-12
A,SOR omega=1.6,0.125,0.375,0.75,28.125,28.124999999998735,1.2647660696529783e-12
A,SOR omega=1.6,0.125,0.5,0.75,37.5,37.50000000000029,2.913225216616411e-13
A,SOR omega=1.6,0.125,0.625,0.75,46.875,46.87500000000706,7.062794793455396e-12
A,SOR omega=1.6,0.125,0.75,0.75,56.25,56.25000000000475,4.75353090223507e-12
A,SOR omega=1.6,0.125,0.875,0.75,65.625,65.62500000000065,6.536993168992922e-13
A,SOR omega=1.6,0.125,1.0,0.75,75.0,75.0,0.0
A,SOR omega=1.6,0.125,0.0,0.875,0.0,0.0,0.0
A,SOR omega=1.6,0.125,0.125,0.875,10.9375,10.937500000012706,1.2706280472229992e-11
A,SOR omega=1.6,0.125,0.25,0.875,21.875,21.875000000002814,2.8137492336099967e-12
A,SOR omega=1.6,0.125,0.375,0.875,32.8125,32.812499999997875,2.1245227799226996e-12
A,SOR omega=1.6,0.125,0.5,0.875,43.75,43.75000000000299,2.9913849175500218e-12
A,SOR omega=1.6,0.125,0.625,0.875,54.6875,54.68750000000634,6.338041202980094e-12
A,SOR omega=1.6,0.125,0.75,0.875,65.625,65.62500000000065,6.536993168992922e-13
A,SOR omega=1.6,0.125,0.875,0.875,76.5625,76.56249999999903,9.663381206337363e-13
A,SOR omega=1.6,0.125,1.0,0.875,87.5,87.5,0.0
A,SOR omega=1.6,0.125,0.0,1.0,0.0,0.0,0.0
A,SOR omega=1.6,0.125,0.125,1.0,12.5,12.5,0.0
A,SOR omega=1.6,0.125,0.25,1.0,25.0,25.0,0.0
A,SOR omega=1.6,0.125,0.375,1.0,37.5,37.5,0.0
A,SOR omega=1.6,0.125,0.5,1.0,50.0,50.0,0.0
A,SOR omega=1.6,0.125,0.625,1.0,62.5,62.5,0.0
A,SOR omega=1.6,0.125,0.75,1.0,75.0,75.0,0.0
A,SOR omega=1.6,0.125,0.875,1.0,87.5,87.5,0.0
A,SOR omega=1.6,0.125,1.0,1.0,100.0,100.0,0.0
A,Direct,0.0625,0.0,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.0625,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.125,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.1875,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.25,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.3125,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.375,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.4375,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.5,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.5625,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.625,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.6875,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.75,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.8125,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.875,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.9375,0.0,0.0,0.0,0.0
A,Direct,0.0625,1.0,0.0,0.0,0.0,0.0
A,Direct,0.0625,0.0,0.0625,0.0,0.0,0.0
A,Direct,0.0625,0.0625,0.0625,0.390625,0.39062499999999967,3.3306690738754696e-16
A,Direct,0.0625,0.125,0.0625,0.78125,0.7812499999999992,7.771561172376096e-16
A,Direct,0.0625,0.1875,0.0625,1.171875,1.171874999999999,1.1102230246251565e-15
A,Direct,0.0625,0.25,0.0625,1.5625,1.562499999999999,1.1102230246251565e-15
A,Direct,0.0625,0.3125,0.0625,1.953125,1.953124999999999,1.1102230246251565e-15
A,Direct,0.0625,0.375,0.0625,2.34375,2.343749999999998,2.220446049250313e-15
A,Direct,0.0625,0.4375,0.0625,2.734375,2.7343749999999973,2.6645352591003757e-15
A,Direct,0.0625,0.5,0.0625,3.125,3.124999999999997,3.1086244689504383e-15
A,Direct,0.0625,0.5625,0.0625,3.515625,3.5156249999999964,3.552713678800501e-15
A,Direct,0.0625,0.625,0.0625,3.90625,3.906249999999997,3.1086244689504383e-15
A,Direct,0.0625,0.6875,0.0625,4.296875,4.296874999999999,8.881784197001252e-16
A,Direct,0.0625,0.75,0.0625,4.6875,4.687499999999999,8.881784197001252e-16
A,Direct,0.0625,0.8125,0.0625,5.078125,5.078124999999999,8.881784197001252e-16
A,Direct,0.0625,0.875,0.0625,5.46875,5.46875,0.0
A,Direct,0.0625,0.9375,0.0625,5.859375,5.859375,0.0
A,Direct,0.0625,1.0,0.0625,6.25,6.25,0.0
A,Direct,0.0625,0.0,0.125,0.0,0.0,0.0
A,Direct,0.0625,0.0625,0.125,0.78125,0.7812499999999993,6.661338147750939e-16
A,Direct,0.0625,0.125,0.125,1.5625,1.5624999999999987,1.3322676295501878e-15
A,Direct,0.0625,0.1875,0.125,2.34375,2.343749999999998,2.220446049250313e-15
A,Direct,0.0625,0.25,0.125,3.125,3.124999999999997,3.1086244689504383e-15
A,Direct,0.0625,0.3125,0.125,3.90625,3.906249999999996,3.9968028886505635e-15
A,Direct,0.0625,0.375,0.125,4.6875,4.687499999999996,4.440892098500626e-15
A,Direct,0.0625,0.4375,0.125,5.46875,5.468749999999995,5.329070518200751e-15
A,Direct,0.0625,0.5,0.125,6.25,6.249999999999993,7.105427357601002e-15
A,Direct,0.0625,0.5625,0.125,7.03125,7.031249999999992,7.993605777301127e-15
A,Direct,0.0625,0.625,0.125,7.8125,7.812499999999993,7.105427357601002e-15
A,Direct,0.0625,0.6875,0.125,8.59375,8.593749999999996,3.552713678800501e-15
A,Direct,0.0625,0.75,0.125,9.375,9.374999999999998,1.7763568394002505e-15
A,Direct,0.0625,0.8125,0.125,10.15625,10.156249999999998,1.7763568394002505e-15
A,Direct,0.0625,0.875,0.125,10.9375,10.937500000000002,1.7763568394002505e-15
A,Direct,0.0625,0.9375,0.125,11.71875,11.71875,0.0
A,Direct,0.0625,1.0,0.125,12.5,12.5,0.0
A,Direct,0.0625,0.0,0.1875,0.0,0.0,0.0
A,Direct,0.0625,0.0625,0.1875,1.171875,1.1718749999999991,8.881784197001252e-16
A,Direct,0.0625,0.125,0.1875,2.34375,2.3437499999999982,1.7763568394002505e-15
A,Direct,0.0625,0.1875,0.1875,3.515625,3.515624999999997,3.1086244689504383e-15
A,Direct,0.0625,0.25,0.1875,4.6875,4.687499999999995,5.329070518200751e-15
A,Direct,0.0625,0.3125,0.1875,5.859375,5.859374999999993,7.105427357601002e-15
A,Direct,0.0625,0.375,0.1875,7.03125,7.031249999999991,8.881784197001252e-15
A,Direct,0.0625,0.4375,0.1875,8.203125,8.203124999999991,8.881784197001252e-15
A,Direct,0.0625,0.5,0.1875,9.375,9.374999999999991,8.881784197001252e-15
A,Direct,0.0625,0.5625,0.1875,10.546875,10.54687499999999,1.0658141036401503e-14
A,Direct,0.0625,0.625,0.1875,11.71875,11.718749999999991,8.881784197001252e-15
A,Direct,0.0625,0.6875,0.1875,12.890625,12.890624999999993,7.105427357601002e-15
A,Direct,0.0625,0.75,0.1875,14.0625,14.062499999999995,5.329070518200751e-15
A,Direct,0.0625,0.8125,0.1875,15.234375,15.234375,0.0
A,Direct,0.0625,0.875,0.1875,16.40625,16.406250000000004,3.552713678800501e-15
A,Direct,0.0625,0.9375,0.1875,17.578125,17.578125000000004,3.552713678800501e-15
A,Direct,0.0625,1.0,0.1875,18.75,18.75,0.0
A,Direct,0.0625,0.0,0.25,0.0,0.0,0.0
A,Direct,0.0625,0.0625,0.25,1.5625,1.5624999999999987,1.3322676295501878e-15
A,Direct,0.0625,0.125,0.25,3.125,3.124999999999997,3.1086244689504383e-15
A,Direct,0.0625,0.1875,0.25,4.6875,4.687499999999996,4.440892098500626e-15
A,Direct,0.0625,0.25,0.25,6.25,6.249999999999994,6.217248937900877e-15
A,Direct,0.0625,0.3125,0.25,7.8125,7.812499999999991,8.881784197001252e-15
A,Direct,0.0625,0.375,0.25,9.375,9.37499999999999,1.0658141036401503e-14
A,Direct,0.0625,0.4375,0.25,10.9375,10.937499999999988,1.2434497875801753e-14
A,Direct,0.0625,0.5,0.25,12.5,12.499999999999984,1.5987211554602254e-14
