problem,case,method,h,k,lambda,x,t,exact,numerical,absolute_error
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.35000000000000003,0.008,0.5899233319726067,0.5949982714312747,0.005074939458667993
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.4,0.008,0.4286043889407235,0.43229154828449823,0.0036871593437747263
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.45,0.008,0.22533066205694827,0.2272691164393114,0.0019384543823631473
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.5,0.008,8.929944924095973e-17,-1.648628956785013e-16,2.54162344919461e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.55,0.008,-0.2253306620569484,-0.2272691164393118,0.001938454382363397
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.6000000000000001,0.008,-0.42860438894072356,-0.43229154828449884,0.0036871593437752814
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.65,0.008,-0.5899233319726066,-0.5949982714312755,0.005074939458668881
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.7000000000000001,0.008,-0.69349646903347,-0.699462418173635,0.005965949140165017
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.75,0.008,-0.729185339831317,-0.7354583099839271,0.006272970152610191
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8,0.008,-0.6934964690334701,-0.6994624181736347,0.005965949140164684
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8500000000000001,0.008,-0.5899233319726064,-0.5949982714312749,0.005074939458668548
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9,0.008,-0.42860438894072356,-0.43229154828449834,0.003687159343774782
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9500000000000001,0.008,-0.22533066205694838,-0.22726911643931152,0.0019384543823631473
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,1.0,0.008,-1.7859889848191946e-16,0.0,1.7859889848191946e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.0,0.009000000000000001,0.0,0.0,0.0
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.05,0.009000000000000001,0.216608270023089,0.2187057397900547,0.002097469766965704
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.1,0.009000000000000001,0.412013413377758,0.41600303795696764,0.00398962457920965
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.15000000000000002,0.009000000000000001,0.5670878131647621,0.5725790603050536,0.0054912471402914775
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.2,0.009000000000000001,0.666651706666073,0.673107054837586,0.006455348171513053
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.25,0.009000000000000001,0.700959086283346,0.7077466410299976,0.006787554746651603
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.30000000000000004,0.009000000000000001,0.666651706666073,0.673107054837586,0.006455348171513053
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.35000000000000003,0.009000000000000001,0.5670878131647621,0.5725790603050535,0.0054912471402913665
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.4,0.009000000000000001,0.41201341337775804,0.4160030379569675,0.003989624579209483
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.45,0.009000000000000001,0.21660827002308908,0.21870573979005462,0.0020974697669655373
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.5,0.009000000000000001,8.584273013501531e-17,-1.9985130557356456e-16,2.856940357085799e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.55,0.009000000000000001,-0.21660827002308924,-0.2187057397900551,0.0020974697669658426
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.6000000000000001,0.009000000000000001,-0.41201341337775815,-0.4160030379569681,0.003989624579209927
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.65,0.009000000000000001,-0.567087813164762,-0.5725790603050541,0.005491247140292144
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.7000000000000001,0.009000000000000001,-0.666651706666073,-0.6731070548375866,0.0064553481715136085
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.75,0.009000000000000001,-0.700959086283346,-0.707746641029998,0.006787554746651936
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8,0.009000000000000001,-0.6666517066660731,-0.6731070548375863,0.006455348171513164
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8500000000000001,0.009000000000000001,-0.5670878131647618,-0.5725790603050536,0.005491247140291811
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9,0.009000000000000001,-0.41201341337775815,-0.4160030379569676,0.003989624579209428
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9500000000000001,0.009000000000000001,-0.2166082700230892,-0.21870573979005475,0.002097469766965565
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,1.0,0.009000000000000001,-1.7168546027003063e-16,0.0,1.7168546027003063e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.0,0.01,0.0,0.0,0.0
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.05,0.01,0.2082235156728803,0.21046502651356913,0.0022415108406888262
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.1,0.01,0.3960646628531577,0.40032826983592446,0.004263606982766732
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.15000000000000002,0.01,0.5451362412885971,0.5510045928556718,0.00586835156707477
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.2,0.01,0.640846086239177,0.647744747251965,0.00689866101278791
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.25,0.01,0.6738254512314336,0.6810791326842054,0.007253681452771832
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.30000000000000004,0.01,0.640846086239177,0.647744747251965,0.00689866101278791
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.35000000000000003,0.01,0.5451362412885971,0.5510045928556718,0.00586835156707477
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.4,0.01,0.3960646628531578,0.4003282698359244,0.004263606982766621
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.45,0.01,0.20822351567288036,0.21046502651356905,0.0022415108406886874
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.5,0.01,8.25198182034596e-17,-2.1831598802215724e-16,3.0083580622561684e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.55,0.01,-0.20822351567288053,-0.21046502651356955,0.0022415108406890205
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.6000000000000001,0.01,-0.3960646628531579,-0.40032826983592495,0.004263606982767065
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.65,0.01,-0.5451362412885971,-0.5510045928556724,0.005868351567075325
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.7000000000000001,0.01,-0.640846086239177,-0.6477447472519654,0.006898661012788354
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.75,0.01,-0.6738254512314336,-0.6810791326842056,0.007253681452772054
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8,0.01,-0.6408460862391772,-0.6477447472519651,0.00689866101278791
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8500000000000001,0.01,-0.5451362412885968,-0.5510045928556718,0.005868351567074992
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9,0.01,-0.3960646628531579,-0.4003282698359244,0.00426360698276651
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9500000000000001,0.01,-0.20822351567288047,-0.21046502651356916,0.0022415108406886874
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,1.0,0.01,-1.650396364069192e-16,0.0,1.650396364069192e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.0,0.011,0.0,0.0,0.0
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.05,0.011,0.2001633292881784,0.2025348188295314,0.0023714895413529946
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.1,0.011,0.38073327728570927,0.38524411844896844,0.004510841163259172
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.15000000000000002,0.011,0.5240343993777884,0.5302430396010154,0.00620864022322698
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.2,0.011,0.6160393832964159,0.6233380776164212,0.0072986943200052945
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.25,0.011,0.6477421401792199,0.655416441542968,0.007674301363748026
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.30000000000000004,0.011,0.6160393832964159,0.6233380776164213,0.0072986943200054055
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.35000000000000003,0.011,0.5240343993777884,0.5302430396010154,0.00620864022322698
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.4,0.011,0.3807332772857094,0.38524411844896844,0.004510841163259061
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.45,0.011,0.20016332928817845,0.2025348188295313,0.002371489541352856
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.5,0.011,7.932553386433379e-17,-2.340579806177303e-16,3.1338351448206414e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.55,0.011,-0.20016332928817862,-0.2025348188295318,0.002371489541353189
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.6000000000000001,0.011,-0.38073327728570944,-0.38524411844896894,0.004510841163259505
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.65,0.011,-0.5240343993777883,-0.5302430396010159,0.006208640223227646
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.7000000000000001,0.011,-0.6160393832964159,-0.6233380776164218,0.00729869432000585
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.75,0.011,-0.6477421401792199,-0.6554164415429682,0.007674301363748248
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8,0.011,-0.6160393832964159,-0.6233380776164215,0.0072986943200055165
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8500000000000001,0.011,-0.5240343993777881,-0.5302430396010154,0.006208640223227313
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9,0.011,-0.38073327728570944,-0.3852441184489684,0.00451084116325895
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9500000000000001,0.011,-0.20016332928817857,-0.2025348188295314,0.002371489541352828
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,1.0,0.011,-1.5865106772866758e-16,0.0,1.5865106772866758e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.0,0.012,0.0,0.0,0.0
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.05,0.012,0.19241514707047078,0.19490341705616554,0.002488269985694763
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.1,0.012,0.36599535891052315,0.37072832967891645,0.0047329707683932964
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.15000000000000002,0.012,0.5037493949808023,0.5102637703765374,0.0065143753957350725
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.2,0.012,0.5921929304419431,0.5998510380129631,0.007658107571020034
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.25,0.012,0.622668495820663,0.6307207066407436,0.008052210820080674
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.30000000000000004,0.012,0.5921929304419431,0.5998510380129631,0.007658107571020034
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.35000000000000003,0.012,0.5037493949808023,0.5102637703765374,0.0065143753957350725
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.4,0.012,0.3659953589105232,0.3707283296789165,0.0047329707683932964
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.45,0.012,0.19241514707047083,0.19490341705616546,0.0024882699856946244
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.5,0.012,7.62548980336672e-17,-2.430405905975688e-16,3.19295488631236e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.55,0.012,-0.19241514707047097,-0.19490341705616596,0.0024882699856949853
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.6000000000000001,0.012,-0.36599535891052326,-0.37072832967891695,0.004732970768393685
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.65,0.012,-0.5037493949808022,-0.5102637703765379,0.006514375395735739
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.7000000000000001,0.012,-0.5921929304419431,-0.5998510380129636,0.007658107571020478
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.75,0.012,-0.622668495820663,-0.6307207066407439,0.008052210820080896
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8,0.012,-0.5921929304419432,-0.5998510380129632,0.007658107571020034
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8500000000000001,0.012,-0.503749394980802,-0.5102637703765373,0.0065143753957352946
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9,0.012,-0.36599535891052326,-0.3707283296789164,0.00473297076839313
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9500000000000001,0.012,-0.19241514707047094,-0.19490341705616554,0.0024882699856945967
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,1.0,0.012,-1.525097960673344e-16,0.0,1.525097960673344e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.0,0.013000000000000001,0.0,0.0,0.0
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.05,0.013000000000000001,0.18496689155708151,0.18755956234933913,0.002592670792257612
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.1,0.013000000000000001,0.35182793502844284,0.3567594879316123,0.004931552903169434
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.15000000000000002,0.013000000000000001,0.48424960888985547,0.49103730914562493,0.006787700255769469
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.2,0.013000000000000001,0.5692695570677102,0.5772489772823566,0.007979420214646371
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.25,0.013000000000000001,0.5985654346655478,0.6069554935925716,0.008390058927023825
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.30000000000000004,0.013000000000000001,0.5692695570677102,0.5772489772823566,0.007979420214646371
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.35000000000000003,0.013000000000000001,0.48424960888985547,0.49103730914562493,0.006787700255769469
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.4,0.013000000000000001,0.3518279350284429,0.3567594879316123,0.004931552903169378
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.45,0.013000000000000001,0.1849668915570816,0.18755956234933904,0.0025926707922574455
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.5,0.013000000000000001,7.330312436434072e-17,-2.480916550423777e-16,3.2139477940671843e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.55,0.013000000000000001,-0.18496689155708174,-0.18755956234933954,0.0025926707922578063
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.6000000000000001,0.013000000000000001,-0.351827935028443,-0.3567594879316128,0.004931552903169767
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.65,0.013000000000000001,-0.4842496088898554,-0.4910373091456255,0.006787700255770079
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.7000000000000001,0.013000000000000001,-0.5692695570677102,-0.577248977282357,0.007979420214646815
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.75,0.013000000000000001,-0.5985654346655478,-0.6069554935925718,0.008390058927024047
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8,0.013000000000000001,-0.5692695570677103,-0.5772489772823567,0.007979420214646371
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8500000000000001,0.013000000000000001,-0.4842496088898552,-0.4910373091456249,0.006787700255769691
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9,0.013000000000000001,-0.351827935028443,-0.3567594879316122,0.004931552903169212
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9500000000000001,0.013000000000000001,-0.18496689155708168,-0.18755956234933913,0.0025926707922574455
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,1.0,0.013000000000000001,-1.4660624872868144e-16,0.0,1.4660624872868144e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.0,0.014,0.0,0.0,0.0
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.05,0.014,0.17780695279545203,0.18049242009204064,0.0026854672965886117
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.1,0.014,0.3382089221973989,0.34331698454083515,0.005108062343436248
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.15000000000000002,0.014,0.4655046458545416,0.47253529051268695,0.007030644658145346
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.2,0.014,0.5472335314138601,0.5554985499021935,0.008265018488333387
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.25,0.014,0.5753953861181791,0.5840857408412925,0.008690354723113414
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.30000000000000004,0.014,0.5472335314138601,0.5554985499021935,0.008265018488333387
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.35000000000000003,0.014,0.4655046458545416,0.4725352905126869,0.007030644658145291
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.4,0.014,0.33820892219739895,0.34331698454083515,0.005108062343436193
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.45,0.014,0.17780695279545208,0.18049242009204056,0.002685467296588473
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.5,0.014,7.046561178537834e-17,-2.5362133787150253e-16,3.2408694965688087e-16
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.55,0.014,-0.17780695279545222,-0.18049242009204108,0.0026854672965888615
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.6000000000000001,0.014,-0.338208922197399,-0.3433169845408357,0.005108062343436692
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.65,0.014,-0.46550464585454154,-0.47253529051268744,0.0070306446581459014
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.7000000000000001,0.014,-0.5472335314138601,-0.5554985499021939,0.00826501848833383
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.75,0.014,-0.5753953861181791,-0.5840857408412927,0.008690354723113636
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8,0.014,-0.5472335314138602,-0.5554985499021936,0.008265018488333387
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.8500000000000001,0.014,-0.4655046458545414,-0.4725352905126869,0.007030644658145513
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9,0.014,-0.338208922197399,-0.34331698454083515,0.005108062343436137
C2,C2_refined_h0.05,Backward Difference,0.05,0.001,0.3999999999999999,0.9500000000000001,0.014,-0.1778069527954522,-0.18049242009204067,0.002685467296588473
